Cleveland Public Power,2017 Actual,2018 Actual,2019 Unaudited,2020 Budget
Postage,"$439,096","$440,919","$445,257","$470,000"
Computer Hardware,"49,692","49,069","76,447","201,100"
Computer Software,—,"250,000","9,587","2,500"
Fuel,"67,340","135,072","59,000","125,000"
Purchased Power,"96,949,655","98,568,560","102,405,856","105,285,562"
Power Transmission Costs,"19,896,392","23,093,932","14,477,203","19,466,180"
CapacityCharges,"10,096,246","17,217,284","16,037,702","11,855,432"
Clothing,"5,208","6,000","6,000","7,500"
Hardware & Small Tools,"145,531","193,093","137,933","125,000"
Small Equipment,"3,304","34,170","43,788","25,000"
Office Furniture & Equipment,"11,088","6,346","4,662",—
Electrical Supplies,"81,594","560,761","395,340","610,000"
Hygiene And Cleaning Supplies,"24,544","28,958","27,833","20,500"
Other Supplies,"125,292","64,446","205,577","327,460"
Safety Equipment,"269,767","176,704","241,228","168,000"
Capital Improvement Inventory,"3,948,648","5,104,398","3,533,158","4,205,200"
Just In Time Office Supplies,"17,118","8,279","12,991","17,500"
Paving Material,"22,823","7,880","8,486","25,000"
,"$132,153,338","$145,945,870","$138,128,047","$142,936,934"
Maintenance,,,,
Maintenance Office Equipment,"$10,161","$8,124",$—,$—
Maintenance Contracts,"55,780","29,000","65,056",—
Computer Hardware Maintenance,—,"3,663",—,"63,000"
Computer Software Maintenance,"142,733","263,137","299,519","507,100"
Maintenance Vehicles,"417,977","550,041","462,787","611,250"
Maintenance Utility Systems,"162,178","1,827,904","981,000","1,850,000"
Maintenance Misc. Equipment,—,—,"49,960","37,000"
Maintenance Building,"357,671","479,434","367,739","350,000"
,"$1,146,500","$3,161,303","$2,226,061","$3,418,350"
"Claims, Refunds, Maintenance",,,,
"Judgments, Damages, & Claims","$529,577","$81,470","$39,974","$90,000"
Indirect Cost,"1,669,695","1,670,004","1,782,261","1,767,558"
,"$2,199,272","$1,751,474","$1,822,235","$1,857,558"
Interdepart Service Charges,,,,
Charges From General Fund,"$4,478","$3,137","$6,075",$—
Charges From Telephone Exch,"2,242,869","3,395,582","4,723,839","4,188,501"
Charges From Utilities Admin,"720,000","820,260","931,601","1,128,485"
Charges From Fiscal Control,"1,249,320","1,248,258","1,286,960","1,456,667"
Charges From Radio Comm System,"132,855","99,892","114,823","110,496"
Charges From Water,"243,371","627,526","488,971","450,730"
Charges From W.P.C.,"6,173","10,439","14,260","24,100"
Charges From Print & Repro,"78,227","46,227","35,001","49,892"
Charges From M.V.M.,"474,468","361,224","338,874","465,802"
Charges From Waste Collection,"30,146","25,094","34,129","30,000"
,"$5,181,906","$6,637,639","$7,974,531","$7,904,673"
Capital Outlay,,,,
Land Expenses,"$6,070",$—,$—,$—
Infrastructure,—,—,—,"4,300,000"
Professional Services,—,—,—,"1,000,000"
Building Betterments -Existing,—,—,—,"975,000"
Computer Software,—,—,—,"250,000"
Computer Hardware,—,—,—,"376,500"
Automobiles,—,—,—,"198,000"
Trucks,—,—,—,"676,000"
Other Equipment,—,—,—,"284,000"
Trans To Light&Power Cap Proj,"3,111,951","7,004,526","9,714,937",—
,"$3,118,021","$7,004,526","$9,714,937","$8,059,500"
Debt Service,,,,
Professional Srvcs-Debt Srvc,"$14,400","$23,200","$23,200","$20,000"
Principal,"8,659,000","7,681,694","5,645,959","5,925,000"
Interest,"8,992,004","7,985,843","8,286,059","8,871,175"
,"$17,665,404","$15,690,737","$13,955,217","$14,816,175"
Expenditure Recovery,,,,
Expenditure Recovery,$—,$—,"-$9,621",$—
,$—,$—,"-$9,621",$—
,"$192,531,882","$211,594,372","$206,037,054","$216,147,522"
Revenues,,,,
Charges For Services,"$189,534,475","$212,815,583","$208,033,158","$209,630,022"
"Fines, Forfeitures & Settlements",30,—,—,—
Grant Revenue,—,—,"33,000",—
Licenses & Permits,—,—,500,—
Miscellaneous,"42,351","257,517","262,364","17,500"
Other Tax,"2,980,098","6,231,972","6,009,172","6,000,000"
Interest Earnings/Investment Income,"314,495","487,913","507,989","500,000"
Non Operating Other/Other,"-5,231,198","-5,485,100","-5,281,657",—
,"$187,640,251","$214,307,885","$209,564,526","$216,147,522"
